E1	E1-1	Transition plan for climate change mitigation
E1	E1-2	Identification of climate-related risks and scenario analysis
E1	E1-3	Resilience in relation to climate change
E1	E1-4	Policies related to climate change mitigation and adaptation
E1	E1-5	Actions and resources in relation to climate change mitigation and adaptation
E1	E1-6	Targets related to climate change
E1	E1-7	Energy consumption and mix
E1	E1-8	Gross scope 1, 2, 3 GHG emissions
E1	E1-9	GHG removals and GHG mitigation projects financed through carbon credits
E1	E1-10	Internal carbon pricing
E1	E1-11	Anticipated financial effects from material physical and transition risks and material climate-related opportunities
E2	E2-1	Policies related to pollution
E2	E2-2	Actions and resources related to pollution
E2	E2-3	Targets related to pollution
E2	E2-4	Pollution of air, water and soil
E2	E2-5	Substances of concern and substances of very high concern
E3	E3-1	Policies related to water
E3	E3-2	Actions and resources related to water
E3	E3-3	Targets related to water
E3	E3-4	Water metrics
E4	E4-1	Biodiversity and ecosystems transition plan
E4	E4-2	Policies related to biodiversity and ecosystems
E4	E4-3	Actions and resources related to biodiversity and ecosystems
E4	E4-4	Targets related to biodiversity and ecosystems
E4	E4-5	Metrics related to biodiversity and ecosystems change
E5	E5-1	Policies related to resource use and circular economy
E5	E5-2	Actions and resources related to resource use and circular economy
E5	E5-3	Targets related to resource use and circular economy
E5	E5-4	Resource inflows
E5	E5-5	Resource outflows
S1	S1-1	Policies related to own workforce
S1	S1-2	Engagement with own workforce and workers' representatives, existence of channels for own workforce to raise concerns or needs and approaches to remedy
S1	S1-3	Actions and resources related to own workforce
S1	S1-4	Targets related to own workforce
S1	S1-5	Characteristics of the undertaking's employees
S1	S1-6	Characteristics of non-employees in the undertaking's own workforce
S1	S1-7	Collective bargaining coverage and social dialogue
S1	S1-8	Gender diversity in top management
S1	S1-9	Adequate wages
S1	S1-10	Social protection
S1	S1-11	Persons with disabilities
S1	S1-12	Training and skills development metrics
S1	S1-13	Health and safety metrics
S1	S1-14	Work-life balance metrics
S1	S1-15	Remuneration metrics
S1	S1-16	Incidents of discrimination and other human rights incidents
S2	S2-1	Policies related to workers in the value chain
S2	S2-2	Engagement with workers in the value chain, existence of channels for workers in the value chain to raise concerns or needs and approaches to remedy
S2	S2-3	Actions and resources related to workers in the value chain
S2	S2-4	Targets related to workers in the value chain
S3	S3-1	Policies related to affected communities
S3	S3-2	Engagement with affected communities, existence of channels for affected communities to raise concerns or needs and approaches to remedy
S3	S3-3	Actions and resources related to affected communities
S3	S3-4	Targets related to affected communities
S4	S4-1	Policies related to consumers and end-users
S4	S4-2	Engagement with consumers and end-users, existence of channels for consumers and end-users to raise concerns or needs and approaches to remedy
S4	S4-3	Actions and resources related to consumers and end-users
S4	S4-4	Targets related to consumers and end-users
G1	G1-1	Policies related to business conduct
G1	G1-2	Actions related to business conduct
G1	G1-3	Targets related to business conduct
G1	G1-4	Metrics related to corruption or bribery
G1	G1-5	Metrics related to political influence, including lobbying activities
G1	G1-6	Metrics related to payment practices
